Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002485;816344;75008;9;1;Fraicheur de Paris;RACCORDEMENT_RESEAU;Raccordement client;rue du Faubourg Saint Honoré;Entre rue de la Néva et Place des Ternes;2023-05-02;2023-06-19;SENS_UNIQUE;depuis Place des Ternes vers avenue Hoche;1;2;;"{""coordinates"": [[[2.3002163543815954, 48.87724352294222], [2.3001395839927525, 48.87720281251899], [2.2983951844510897, 48.877707945597656], [2.298516280359523, 48.87778112580276], [2.3000812476756107, 48.87730446644164], [2.300081464084885, 48.877288363236126], [2.3002163543815954, 48.87724352294222]]], ""type"": ""Polygon""}";48.87750229964593, 2.2992695806976338
CP002523;822562;75007;12;1;STV - S;REFECTION_CHAUSSEE;Désamiantage + tapis;Quai Anatole France;Entre pont Royal et rue de la Légion d'Honneur;2023-07-17;2023-08-08;BARRAGE_TOTAL;"Du 17 au 21/07; Désamiantage Enrobé. Fermeture Quai A. France depuis Pt Royal.
Du 24/07 au 07/08, Reprise  fondation béton. Nuit du 07 au 08/08, pose nouveau revêtement chaussée. Fermeture Quai A. France jusqu'à Solférino. 
Le 08/08, marquage à neuf.";1;2;;"{""coordinates"": [[[2.3295543959012948, 48.85941430983356], [2.329321643482476, 48.8594827925474], [2.3292773496379744, 48.859447650375444], [2.329171244922344, 48.859473896760186], [2.3255067854783813, 48.86067457316191], [2.3255665147965994, 48.86077422145737], [2.3276453659768914, 48.86013636337257], [2.328090853045698, 48.859975134183514], [2.329230290136217, 48.859627222624155], [2.3295774891449614, 48.85951643550773], [2.3295543959012948, 48.85941430983356]]], ""type"": ""Polygon""}";48.86006303615076, 2.3276089231134742
CP000116;;75013;14;2;SNCF;TRAVAUX_OUVRAGE;Base vie;F41 - 43 bd Vincent Auriol sous le viaduc RATP;;2016-09-16;2024-06-28;RESTREINTE;Maintien de 4,93m de circulation piste cyclable incluse. La base vie sera en place du 23/09/16 au 31/12/2020 condamnant la voie de retournement.;2;2;;"{""coordinates"": [[[2.3699937223026244, 48.83566249101574], [2.3704514570822646, 48.83585917228909], [2.3707002434498192, 48.83596008805611], [2.3707531831975985, 48.83590444668051], [2.370055730223922, 48.83560213824699], [2.3699937223026244, 48.83566249101574]]], ""type"": ""Polygon""}";48.835780810000806, 2.3703698960129023
CP002116;417442;75016;13;1;DCPA;TRAVAUX_OUVRAGE;Base-vie provisoire pour la DPE.;4-6 av d'Eylau;;2021-06-14;2024-06-30;SENS_UNIQUE;depuis la place de Mexico vers la place du Trocadéro.;1;2;;"{""coordinates"": [[[2.2861032177075997, 48.8636484064129], [2.2855087571103088, 48.864040314696716], [2.2855699975426758, 48.86408373765012], [2.28617478552933, 48.86368961801346], [2.2861032177075997, 48.8636484064129]]], ""type"": ""Polygon""}";48.863863820329385, 2.285841905243463
CP002225;657954;75015;13;2;Eau de Paris;ENTRETIEN_RESEAU;;Rue de la Convention;Au N°181;2022-07-04;2023-05-12;RESTREINTE;Maintien de 3,20m dans chaque sens.;1;2;;"{""coordinates"": [[[2.295479386278059, 48.837744890373806], [2.29545468440474, 48.83772317164631], [2.2954024268768882, 48.83771366415922], [2.2952142796594037, 48.83780043875859], [2.2952627302037687, 48.83784292365037], [2.295479377659876, 48.83774552797773], [2.295479386278059, 48.837744890373806]]], ""type"": ""Polygon""}";48.83777410736606, 2.295344601047701
CP002438;748185;75015;13;2;CPCU;ENTRETIEN_RESEAU;Réparation fuite sur retour d'eau;Rue Ranelagh;Au 66-68;2022-12-19;2023-03-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.2726972075974885, 48.85496046717785], [2.272672980647936, 48.85493938011063], [2.2724333998051676, 48.855001219681895], [2.2724655580899804, 48.85502235592016], [2.272695031564903, 48.85496140637403], [2.2726964800440403, 48.85496093851724], [2.2726972075974885, 48.85496046717785]]], ""type"": ""Polygon""}";48.85498119843015, 2.2725660919693897
CP001822;270695;75018;9;3;Elogie SIEMP;CONSTRUCTION_IMMEUBLE;;bd Barbès;;2021-03-01;2023-04-30;RESTREINTE;Neutralisation du couloir bus. Maintien d'une file de circulation de 4m intégrant les vélos.;2;2;;"{""coordinates"": [[[2.349691877727816, 48.88424866127925], [2.3495511001175062, 48.8842538456193], [2.349555189589002, 48.8843597548167], [2.349690540636349, 48.884355730808366], [2.349691877727816, 48.88424866127925]]], ""type"": ""Polygon""}";48.88430414499714, 2.349622278267083
CP002502;824972;75013;14;2;CPCU;ENTRETIEN_RESEAU;Travaux de traversée de chaussée sur le réseau de chauffage urbain;Avenue d'Italie & avenue de Choisy;Du 2 av d'Italie au 194 av de Choisy;2023-06-05;2023-10-18;;Traversée de chaussée en 7 phases pour permettre la continuité de la circulation dans les 2 sens;2;2;;"{""coordinates"": [[[2.3557655582494057, 48.830606122247], [2.3557394033725183, 48.8306809385986], [2.3563925128599283, 48.830767741304584], [2.3564672191355824, 48.83070151425394], [2.3557655582494057, 48.830606122247]]], ""type"": ""Polygon""}";48.830688443933596, 2.3560899787616494
CP002505;;75008;9;1;STV;REAMENAGEMENT_VOIRIE;sécurisation du carrefour avec pose d'ilots;Avenue Hoche;Angle Beaujon;2023-06-05;2023-08-11;RESTREINTE;;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR Hoche-Beaujon (sécurisation).pdf;"{""coordinates"": [[[[2.2986789206299507, 48.875450941503466], [2.298979650442385, 48.87526899009673], [2.2982133584149063, 48.87493066907897], [2.2978589239466727, 48.87513203967248], [2.2986789206299507, 48.875450941503466]]], [[[2.298979650442385, 48.87526899009673], [2.2989807781161162, 48.875269487740866], [2.2989807941293225, 48.875268298006254], [2.298979650442385, 48.87526899009673]]]], ""type"": ""MultiPolygon""}";48.8751924166119, 2.2984238887427066
CP002525;;75008;9;1;Mairie de Paris;EVENEMENTIEL;Test EVEN JOP Triathlon;Cours la Reine;Cours la Reine, pont Alexandre III et quai d'Orsay;2023-07-10;2023-08-31;BARRAGE_TOTAL;Barrage cours la Reine, pont Alexandre III et quai d'Orsay;1;2;;"{""coordinates"": [[[2.310426977766905, 48.86499168384615], [2.313495144923471, 48.865046916104305], [2.3135009479201027, 48.864606560152275], [2.3104571545051016, 48.86455683831562], [2.310426977766905, 48.86499168384615]]], ""type"": ""Polygon""}";48.864800843799216, 2.311973005385207
CP002337;544080;;9;3;R.H Paris;REHABILITATION_IMMEUBLE;Travaux de restructuration et d'extension;Avenue des Champs Elysées;Au n°23 sur une partie du trottoir;2022-06-13;2023-12-01;RESTREINTE;Circulation piétonnes impactée avec entrées - sorties de camions de chantier entre la chaussée et l'immeuble;2;2;;"{""coordinates"": [[[2.3086598208842117, 48.869183770794706], [2.3086030773588435, 48.869110867671836], [2.3077427065094094, 48.86939024692233], [2.307808513918878, 48.86945963425642], [2.3086598208842117, 48.869183770794706]]], ""type"": ""Polygon""}";48.86928591813703, 2.3082039242857797
CP002389;646068 - 777222;75001;11;1;Musée Louvres & MAD;REHABILITATION_IMMEUBLE;Travaux en façades des musées du Louvres et Arts Déco;Rue de Rivoli;Entre les n° 101 au 111;2022-10-03;2024-03-15;RESTREINTE;Impact sur les piétons et la piste cyclable coté pair;2;2;;"{""coordinates"": [[[2.334672368265756, 48.86288426577897], [2.334607427103902, 48.862808099605225], [2.3323618701570696, 48.86354990422634], [2.332408225778639, 48.86362392818835], [2.334672368265756, 48.86288426577897]]], ""type"": ""Polygon""}";48.863211135110944, 2.333529098093924
CP002449;785942;75008;9;2;CPCU;TRAVAUX_OUVRAGE;Travaux sur réseau chauffage;Avenue des Champs Elysées;Au niveau du n° 15;2023-02-27;2023-04-28;RESTREINTE;"1 voie de circulation impacté + piste cyclable (déviée dans circulation Gle)
Perches à prévoir
1/2 passages piétons praticables";2;2;;"{""coordinates"": [[[2.3090533500593824, 48.86923091509933], [2.3093473462923413, 48.86913822382852], [2.3093255624059617, 48.86910359475129], [2.309017746393949, 48.8691958095784], [2.309051746478907, 48.86921583551672], [2.3090533500593824, 48.86923091509933]]], ""type"": ""Polygon""}";48.86916700266295, 2.3091858542828074
CP002488;732582;75016;13;1;DVD - Mission vélo;REAMENAGEMENT_VOIRIE;Création piste cyclable;Avenue de la porte de Saint Cloud;Entre la place de la porte de Saint Cloud et la rue du Commandant Guilbaud;2023-04-19;2023-06-09;RESTREINTE;"Neutralisation de la Coronapistes avec maintien de la circulation générale sur le linéaire.
Les cyclistes sont renvoyés dans la circulation générale";2;2;;"{""coordinates"": [[[2.256060787903585, 48.83817930955699], [2.255291294267095, 48.83824699482059], [2.2537318540504194, 48.83839027413465], [2.2519649261111696, 48.83854028970815], [2.2518522185386436, 48.83874358304263], [2.2529964082521667, 48.83863531340567], [2.253540823792464, 48.8386682384993], [2.2539944532364333, 48.83879993096925], [2.2547117634138156, 48.83870772850561], [2.255087148670575, 48.83862950522989], [2.2554778075021886, 48.8386211961572], [2.255609815775555, 48.83849311924024], [2.2557738290456686, 48.83840283699488], [2.2558718383236815, 48.83837659318714], [2.2561000923915233, 48.83834578829281], [2.256060787903585, 48.83817930955699]]], ""type"": ""Polygon""}";48.83850939123929, 2.2541861863314523
CP001828;;75009;11;3;Pathé;REHABILITATION_IMMEUBLE;;bd des Capucines /rue de la Chaussée d'Antin;n°2/4,n°1 au n°3bis;2021-01-29;2023-12-29;RESTREINTE;mise à sens unique de la rue de la Chaussée d'Antin depuis le bd des Capucines vers et jusqu'à la rue Meyerbeer. Mise à sens unique de la rue Meyerbeer depuis la place Jacques Rouché vers et jusqu'à la rue de la Chaussée d'Antin.;1;2;;"{""coordinates"": [[[2.3341463298238345, 48.87099769394828], [2.3335342883236723, 48.87086990608287], [2.333483657887841, 48.87100925859056], [2.333673178805307, 48.87104621996545], [2.3338640063353426, 48.8710734574379], [2.33394076317491, 48.871135751156146], [2.333747910819046, 48.87154871284911], [2.333768791234701, 48.8716083168636], [2.333757484336693, 48.871646326619214], [2.333751571518258, 48.87168555532487], [2.333820087315403, 48.871687126497385], [2.3341463298238345, 48.87099769394828]]], ""type"": ""Polygon""}";48.87117272702831, 2.333851122649456
CP002252;529726;75014;12;3;VIRENTO ALESIA;CONSTRUCTION_IMMEUBLE;;Rue des Plantes;AU 73b;2022-03-21;2023-03-31;RESTREINTE;Maintien de 3,50m;2;2;;"{""coordinates"": [[[2.3192690904536617, 48.825731712976335], [2.3192676453301266, 48.82573201863352], [2.3192478245683543, 48.82570430205886], [2.3192338053902644, 48.8257108857543], [2.319189191612884, 48.825668117220744], [2.3191481524636703, 48.825682794386076], [2.319208783266686, 48.82575040683195], [2.3192690904536617, 48.825731712976335]]], ""type"": ""Polygon""}";48.825710788117036, 2.3192066378689753
CP002412;733440;75005;12;3;GDG SCIPION;REHABILITATION_IMMEUBLE;Base vie de 21 modules pour gros travaux de réhabilitation du bâtiment;Rue Vésale;Entre le 2 et le 8 rue Vésale;2022-11-21;2022-11-22;RESTREINTE;Sur trottoir et places de stationnement entre le   2 et 8 rue Scipion. Circulation restante : 4ml;2;2;;"{""coordinates"": [[[2.35356563064097, 48.83839322710113], [2.3535956429173823, 48.83835674373138], [2.353008507486518, 48.83814607046187], [2.35297920970242, 48.83818303332208], [2.35356563064097, 48.83839322710113]]], ""type"": ""Polygon""}";48.83826968153002, 2.3532870207693475
CP002450;793361;75004;11;2;GRDF;ENTRETIEN_RESEAU;Travaux réseaux gaz;Rue du Pas de la Mule;Entre la place des Vosges et le bd Beaumarchais + fouille au 33 rue des Tournelles;2023-04-11;2023-06-02;BARRAGE_TOTAL;Barrage de la rue du Pas de la Mule de la place des Vosges au bd Beaumarchais du 12/04 au 12/05/23;2;2;;"{""coordinates"": [[[2.36674300992766, 48.85606097896595], [2.3682672638549818, 48.85581672846514], [2.368266417784874, 48.85588651088291], [2.368319227518306, 48.85589215789636], [2.3683087181911855, 48.85575252864551], [2.3667272624231614, 48.85601794985291], [2.36674300992766, 48.85606097896595]]], ""type"": ""Polygon""}";48.85590283442717, 2.367586092608984
CP002470;815064;75008;9;1;Mission vélo;REAMENAGEMENT_VOIRIE;Aménagement de voirie pour circulations piétons, vélos, bus, ...;Rue d'Amsterdam;Entre la rue de Milan et la rue de Liège;2023-04-03;2023-06-02;SENS_UNIQUE;Travaux en 2 phases (basculement le 09/05/23) avec mise en sens unique à chaque phase en laissant 3ml de circulation, sur chaussée;2;2;;"{""coordinates"": [[[2.326713708005788, 48.87954336778098], [2.326729672432701, 48.879567614599175], [2.3269368182554837, 48.87959830364301], [2.327058895011921, 48.87959898991113], [2.327037231333224, 48.87875606963767], [2.327244478112033, 48.87877870700563], [2.3272246186015204, 48.878741018464204], [2.3270335430152382, 48.878726524617036], [2.326931779863896, 48.878728636138526], [2.326966031572669, 48.879542102065955], [2.3269372344855888, 48.87956609720354], [2.326713708005788, 48.87954336778098]]], ""type"": ""Polygon""}";48.87915694202732, 2.3269974224229872
CP002478;817794;75019;10;1;STV;REAMENAGEMENT_VOIRIE;Recalibrage et Végétalisation de la rue;Rue Riquet;De l'avenue de Flandre au quai de Seine;2023-04-03;2023-12-22;RESTREINTE;Travaux par phases (9) avec mise en impasse et barrage total selon les travaux;2;2;;"{""coordinates"": [[[2.3742166034727568, 48.888426606670855], [2.376017518196734, 48.88833396705292], [2.3771031582397693, 48.88812480101842], [2.377258589209391, 48.88806653475216], [2.3771454176593614, 48.887996130741435], [2.3770875786116084, 48.888065645224785], [2.376043042362979, 48.88824280167301], [2.374128186848477, 48.88832947629266], [2.3742166034727568, 48.888426606670855]]], ""type"": ""Polygon""}";48.88828224059878, 2.3755964094327395
CP002484;815199;75010;11;1;Mission vélo;REAMENAGEMENT_VOIRIE;Piste cyclable bidirectionnelle;rue La Fayette;Entre la place Valenciennes et la rue de Dunkerque;2023-05-05;2023-07-05;SENS_UNIQUE;Mise à sens unique définitive entre les n° 129 et 155 rue La Fayette;2;2;;"{""coordinates"": [[[[2.354163670521459, 48.878562300252455], [2.354109729083284, 48.87859262793264], [2.35757647098426, 48.87948455410855], [2.3576435607650663, 48.87945636031313], [2.354163670521459, 48.878562300252455]]], [[[2.3541624200832314, 48.878561978739995], [2.354163670521459, 48.878562300252455], [2.354164223880522, 48.87856198847111], [2.3541624200832314, 48.878561978739995]]]], ""type"": ""MultiPolygon""}";48.8790260215025, 2.3558814216733484
CP002493;817922;75019;10;2;CPCU;RACCORDEMENT_RESEAU;Emprise pour raccordement du réseau CPCU au 22 avenue Mathurin Moreau;Avenue Mathurin Moreau;Entre la place du Colonel Fabien et la rue des Chaufourniers;2023-05-29;2023-07-28;SENS_UNIQUE;Barrage à la circulation depuis la place du Colonel Fabien à l'avenue Simon Bolivar;1;2;;"{""coordinates"": [[[2.3709109988145713, 48.87803551760904], [2.3730474916748316, 48.87826801797331], [2.373055135101695, 48.87823236622721], [2.370970966323868, 48.877998951114044], [2.3709295826828245, 48.87799040494427], [2.3709109988145713, 48.87803551760904]]], ""type"": ""Polygon""}";48.878129064609794, 2.3719542990211178
CP002501;825180;75013;14;2;CPCU;CREATION_RESEAUX;Mise à l'égout d'une chambre;Quai d'Austerlitz;Entre les n° 38 et 42 quai d'Austerlitz (sur chaussée et trottoir);2023-06-26;2023-09-01;SENS_UNIQUE;Barrage du Quai d'Austerlitz depuis le pont Charles de Gaulle jusqu'au pont de Bercy;2;2;;"{""coordinates"": [[[2.3699008944762525, 48.84058510327035], [2.370208155048227, 48.840366611339995], [2.3700784135371222, 48.840363548492036], [2.3698328787781087, 48.8405454824193], [2.3699008944762525, 48.84058510327035]]], ""type"": ""Polygon""}";48.84046406436474, 2.370008687299222
CP002514;;75008;9;1;SAGP;REAMENAGEMENT_VOIRIE;création d'un passage piétons et reprise de chaussée;avenue Winston Churchill;Entre l'avenue du Général Eisenhower et Cours La Reine;2023-07-03;2023-08-01;RESTREINTE;"En 2 phases pour les travaux préparatoires de jour, avec maintien de 4,00m dans chaque sens.
Du 24/07 au 01/08 travaux de nuit sous fermeture totale.";2;2;;"{""coordinates"": [[[[2.313548697557658, 48.865104359753225], [2.313767301672893, 48.866990138785155], [2.314118432288324, 48.866965851920455], [2.31387435610712, 48.86510085716032], [2.313548697557658, 48.865104359753225]]], [[[2.313767301672893, 48.866990138785155], [2.3137599186222406, 48.86699064955161], [2.3137679883422284, 48.86699606671718], [2.313767301672893, 48.866990138785155]]]], ""type"": ""MultiPolygon""}";48.86605322920918, 2.3138284885681193
CP002527;827078;75005;12;1;Mission vélo;REAMENAGEMENT_VOIRIE;pérennisation piste cyclable;rue saint Jacques;entre rue des écoles et rue Soufflot;2023-07-17;2023-09-22;RESTREINTE;Mise en impasse de la rue Cujas depuis la Place du Panthéon vers la rue St Jacques du 05 au 06/09;1;2;;"{""coordinates"": [[[2.344855426782458, 48.8497049311519], [2.3449620902218613, 48.849635697145985], [2.343412054636545, 48.846710931020866], [2.3432327059821474, 48.846736799689715], [2.344855426782458, 48.8497049311519]]], ""type"": ""Polygon""}";48.84812531888667, 2.344076654576672
CP002528;831609;75015;13;2;RATP HTA;CREATION_RESEAUX;Renforcement réseau;Avenue du Maine/ rue Antoine Bourdelle;du 21 au 31 / du 1 au 5b;2023-07-31;2023-11-17;RESTREINTE;Traversée avenue du Maine en 3 phases.;2;2;;"{""coordinates"": [[[2.320386276272195, 48.84319205225712], [2.3193161608737354, 48.84300631005132], [2.3193103181191295, 48.84303959109515], [2.3206376436245333, 48.843268436685726], [2.320588530720174, 48.84344067664163], [2.320629863154601, 48.84345043025009], [2.320960049516706, 48.84273486249634], [2.3209023085985767, 48.84273929417193], [2.32067981331823, 48.84321394619878], [2.320386276272195, 48.84319205225712]]], ""type"": ""Polygon""}";48.84312206624551, 2.320365825748526
