Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002414;729663;75014;12;2;RATP;TRAVAUX_OUVRAGE;Création d'une nouvelle sortie;av. de l'Observatoire;"av; de l'Observatoire angle Henri Barbusse";2022-11-28;2024-12-30;RESTREINTE;Neutralisation Piste cyclable;2;2;;"{""coordinates"": [[[2.3369469747875966, 48.83893101034744], [2.337005012780436, 48.83890277714122], [2.336849785862418, 48.83877817818425], [2.3367559293691897, 48.83878836568384], [2.3367251987899893, 48.83879533446511], [2.3367489948365208, 48.83919166628412], [2.3368535593301885, 48.8391898662884], [2.336836852180698, 48.838944677333075], [2.336946989923013, 48.83892982056896], [2.3369469747875966, 48.83893101034744]]], ""type"": ""Polygon""}";48.83895642178711, 2.336818469377529
CP002430;;75005;12;2;CPCU;TRAVAUX_URGENCE;Affaissement chaussée + trottoir;Rue des Feuillantines;Au n° 7 sur chaussée et trottoir impair;2022-11-30;2023-03-26;BARRAGE_TOTAL;Depuis la rue Saint Jacques;1;2;;"{""coordinates"": [[[2.3429132805994137, 48.84146694475274], [2.342874120063138, 48.84142770532683], [2.342777056009422, 48.841463340929465], [2.3428205302374048, 48.841503557410206], [2.3429132805994137, 48.84146694475274]]], ""type"": ""Polygon""}";48.84146544686745, 2.342845787506021
CP002442;705263;75010;11;2;SNCF;CONSTRUCTION_IMMEUBLE;"Chantier Gare du Nord et Connexions 
Parking EFFIA";Rue de Maubeuge;Au n° 106-108 rue de Maubeuge;2022-11-21;2024-03-06;RESTREINTE;1.40ml (mini) pour le passage des piétons à coté de la zone d'attente pour les taxis;2;2;;"{""coordinates"": [[[2.353488362984165, 48.881180408890835], [2.3540702234745057, 48.88153571318507], [2.354072027374777, 48.88153572291756], [2.3541425819554287, 48.88151944705161], [2.353510539936886, 48.881137698005645], [2.3534941734067734, 48.881148317061566], [2.353488362984165, 48.881180408890835]]], ""type"": ""Polygon""}";48.8813440922225, 2.3538048374131946
CP002453;799821;75006;12;1;Mission vélo;REAMENAGEMENT_VOIRIE;Création d'une piste cyclable bidirectionnelle avec séparateur;Boulevard Saint Michel;Entre le boulevard de Montparnasse et la rue des écoles  (5e + 6e arrondissement);2023-01-30;2023-05-12;RESTREINTE;"La traversée se déroulera en 2 phases en laissant 3.5m de passage dans les deux sens.
Basculement prévu dans la nuit du 20 au 21/02/23";2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR MV Saint-Michel phases 1-1 et 2 V4.pdf;"{""coordinates"": [[[2.342480858007976, 48.85019486895603], [2.342660682820282, 48.85012606962568], [2.3419194582153753, 48.84891681681216], [2.3410226216485244, 48.847473179502735], [2.3403903879586965, 48.84633430189219], [2.3390943244529963, 48.84398925491085], [2.3378263644190342, 48.84168192113161], [2.337122479943972, 48.84043257204689], [2.3368455006175988, 48.839829784674954], [2.336482764696041, 48.83989487760545], [2.336549087147594, 48.84043476158986], [2.336795618835097, 48.84055423244251], [2.337164890551955, 48.840934745605615], [2.33811608513062, 48.842563928289714], [2.3389270564659737, 48.84403127708173], [2.340135483615718, 48.84623089883487], [2.34013439612841, 48.846316785376644], [2.3403767173998142, 48.84677174287311], [2.341054401940844, 48.84785450307719], [2.3418474421662707, 48.849144572579384], [2.342480858007976, 48.85019486895603]]], ""type"": ""Polygon""}";48.844589552163356, 2.339324105038713
CP002477;816715;75016;13;1;STV-SO 16e;REFECTION_CHAUSSEE;Réfection totale de la chaussée - Pavage;Avenue Foch;Entre la rue Presbourg et la place Charles de Gaulle;2023-04-04;2023-04-28;RESTREINTE;1 file restante dans chaque sens;2;2;;"{""coordinates"": [[[2.292905497787108, 48.873527977282485], [2.292886590900299, 48.87359211197488], [2.293884344378608, 48.873700320971594], [2.2939177435093794, 48.873631512297216], [2.293914104022883, 48.87363387049074], [2.292905497787108, 48.873527977282485]]], ""type"": ""Polygon""}";48.87361402649044, 2.2934025651578027
CP002510;;75007;12;1;STV;REFECTION_CHAUSSEE;Travaux de désamiantage;avenue de Suffren;Entre le N° 66 et rue de la Fédération;2023-07-17;2023-08-04;SENS_UNIQUE;"En 2 phases.
Mise à sens unique Depuis Jean Carriès vers Quai Branly
Mise en impasse de la rue de la Fédération entre rue de Presles et l'av. de Suffren";1;2;;"{""coordinates"": [[[2.297715907548947, 48.85312487800575], [2.2978327329176347, 48.85320877235337], [2.2984606379121693, 48.85279372906904], [2.298347771784191, 48.852717911386605], [2.297707773350449, 48.853124830263106], [2.297715907548947, 48.85312487800575]]], ""type"": ""Polygon""}";48.852964152327495, 2.298082981182748
CP002517;827252;75010;11;1;Mission vélo;REAMENAGEMENT_VOIRIE;Aménagement piste cyclable;Rue La Fayette;Entre le 155 bis et le 191 rue La Fayette;2023-07-03;2023-09-20;SENS_UNIQUE;Depuis la rue de Dunkerque à la rue Philippe de Girard;2;2;;"{""coordinates"": [[[2.3579320352883775, 48.87960426330217], [2.358583541476274, 48.87990300180515], [2.358828586651897, 48.87983184539839], [2.3618870789400774, 48.88063998379372], [2.361895842312183, 48.880589033053965], [2.3579730250071145, 48.87958032617639], [2.3579320352883775, 48.87960426330217]]], ""type"": ""Polygon""}";48.88004858040972, 2.359653311028794
CP000442;;75008;9;2;EOLE;TRAVAUX_OUVRAGE;Prolongement du RER E - Puits Pasquier;Bd Haussmann;entre rue de l'Arcade et rue d'Anjou;2017-07-01;2023-01-13;RESTREINTE;Neutralisation du couloir bus. Maintien des cheminements piétons et d'une file sur la rue Pasquier. Rue Pasquier fermée du 24/07/17 au 25/10/17;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Plaquette d'info riv opé CPCU N01C - Haussmann 08ème Edt°2.pdf;"{""coordinates"": [[[2.322881182230636, 48.87440292430693], [2.322884693425123, 48.874445889427435], [2.3238426347286776, 48.874314415789115], [2.3238628385118822, 48.874325266224574], [2.3238573767859667, 48.87443259851544], [2.3238899269843416, 48.874432782368594], [2.323899841312721, 48.87429595080958], [2.3239015435285917, 48.87426848380335], [2.3239912652976913, 48.87425288605297], [2.3244723899366377, 48.87417776342435], [2.3244594209450606, 48.87413269627761], [2.3228778817544082, 48.8743438559033], [2.322881182230636, 48.87440292430693]]], ""type"": ""Polygon""}";48.87429944518452, 2.323575149071294
CP001887;337073;75014;12;3;Préfecture de Police;REHABILITATION_IMMEUBLE;Travaux de réhabilitation du Commissariat du 14ème;avenue du Maine;Du N°112 au N°116;2021-03-23;2023-01-25;RESTREINTE;Neutralisation du Couloir Bus;2;2;;"{""coordinates"": [[[2.3231522953758335, 48.83635600956667], [2.3232835638833933, 48.836379358867994], [2.323331827236553, 48.83627136031913], [2.3233965988490453, 48.83628005579343], [2.3235196359965484, 48.835965455814204], [2.3233199462532954, 48.835936961128596], [2.32315231081369, 48.836354820686516], [2.323154097706643, 48.83635601976542], [2.3231522953758335, 48.83635600956667]]], ""type"": ""Polygon""}";48.836147198982815, 2.323335607738174
CP002218;;75005;12;1;SAP;TRAVAUX_OUVRAGE;travaux du bassin d'Austerlitz;Place Valhubert / Quai d'Austerlitz;Depuis le 72 Quai d'Austerlitz jusqu'à Place Valhubert;2022-01-10;2023-08-31;SENS_UNIQUE;Depuis Place Valhubert vers Pont Charles de Gaulle;1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Lettre d'info Austerlitz janv 2022.pdf;"{""coordinates"": [[[2.366209330158123, 48.84324539464203], [2.3662052644812412, 48.843245373102285], [2.3661814212295167, 48.84319961591614], [2.365419228260475, 48.84367603796608], [2.364938117246942, 48.843778166002735], [2.3651669275945966, 48.84402363766875], [2.366209330158123, 48.84324539464203]]], ""type"": ""Polygon""}";48.84368201652438, 2.365475384870553
